word	book0	book1	book2	book3	book4	book5
addition	0	0	0	0	0	0
additional	0	0	0	0	0	0
additionally	0	0	0	0	0	0
addle	0	0	0	0	0	0
address	0	0	0	0	0	0
addresse	0	0	0	0	0	0
addressing	0	0	0	0	0	0
adept	0	0	0	0	0	0
adequate	0	0	0	0	0	0
adequately	0	0	0	0	0	0
adhere	0	0	0	0	0	0
adieu	0	0	0	0	0	0
adieus	0	0	0	0	0	0
adiew	0	0	0	0	0	0
adioyn	0	0	0	0	0	0
adjacent	0	0	0	0	0	0
adjective	0	0	0	0	0	0
adjoin	0	0	0	0	0	0
adjoining	0	0	0	0	0	0
adjourn	0	0	0	0	0	0
adjuration	0	0	0	0	0	0
adjure	0	0	0	0	0	0
adjust	0	0	0	0	0	0
adjustment	0	0	0	0	0	0
administer	0	0	0	0	0	0
administrator	0	0	0	0	0	0
admirable	0	0	0	0	0	0
admirably	0	0	0	0	0	0
admiration	0	0	0	0	0	0
admire	0	0	0	0	0	0
admirer	0	0	0	0	0	0
admission	0	0	0	0	0	0
admit	0	0	0	0	0	0
admittance	0	0	0	0	0	0
admonish	0	0	0	0	0	0
admonition	0	0	0	0	0	0
admonitory	0	0	0	0	0	0
ado	0	0	0	0	0	0
adopt	0	0	0	0	0	0
adoption	0	0	0	0	0	0
adorable	0	0	0	0	0	0
adore	0	0	0	0	0	0
adorn	0	0	0	0	0	0
adornment	0	0	0	0	0	0
aduanc	0	0	0	0	0	0
aduancement	0	0	0	0	0	0
aduantage	0	0	0	0	0	0
adue	0	0	0	0	0	0
aduenturous	0	0	0	0	0	0
aduice	0	0	0	0	0	0
aduise	0	0	0	0	0	0
adult	0	0	0	0	0	0
adulterate	0	0	0	0	0	0
adust	0	0	0	0	0	0
advan	0	0	0	0	0	0
advanc	0	0	0	0	0	0
advance	0	0	0	0	0	0
advanced	0	0	0	0	0	0
advancement	0	0	0	0	0	0
advantage	0	0	0	0	0	0
advantageous	0	0	0	0	0	0
adventure	0	0	0	0	0	0
adventurous	0	0	0	0	0	0
adverbiously	0	0	0	0	0	0
adversary	0	0	0	0	0	0
adversity	0	0	0	0	0	0
advert	0	0	0	0	0	0
advertise	0	0	0	0	0	0
advertisement	0	0	0	0	0	0
advertiser	0	0	0	0	0	0
advice	0	0	0	0	0	0
advisability	0	0	0	0	0	0
advisable	0	0	0	0	0	0
advise	0	0	0	0	0	0
adviser	0	0	0	0	0	0
advisor	0	0	0	0	0	0
advocate	0	0	0	0	0	0
ae	0	0	0	0	0	0
aeneas	0	0	0	0	0	0
afar	0	0	0	0	0	0
afarre	0	0	0	0	0	0
afeard	0	0	0	0	0	0
affability	0	0	0	0	0	0
affable	0	0	0	0	0	0
affably	0	0	0	0	0	0
affair	0	0	0	0	0	0
affaire	0	0	0	0	0	0
affaires	0	0	0	0	0	0
affairs	0	0	0	0	0	0
affayre	0	0	0	0	0	0
affear	0	0	0	0	0	0
affect	0	0	0	0	0	0
affectation	0	0	0	0	0	0
affectingly	0	0	0	0	0	0
affection	0	0	0	0	0	0
affectionate	0	0	0	0	0	0
affectionately	0	0	0	0	0	0
affidavit	0	0	0	0	0	0
affinity	0	0	0	0	0	0
affirm	0	0	0	0	0	0
affirmative	0	0	0	0	0	0
affix	0	0	0	0	0	0
afflict	0	0	0	0	0	0
affliction	0	0	0	0	0	0
afford	0	0	0	0	0	0
affraide	0	0	0	0	0	0
affray	0	0	0	0	0	0
affright	0	0	0	0	0	0
affront	0	0	0	0	0	0
afire	0	0	0	0	0	0
afoot	0	0	0	0	0	0
afore	0	0	0	0	0	0
